geneID,Severo
ALKBH3-AS1,3.5077185090027e-05
ALKBH4,2.90890890287921e-05
ALKBH5,0.000100909064057
ALKBH6,0.0001179623190397
ALKBH7,5.10411799933679e-05
ALKBH8,4.4485667153375e-05
ALLC,1.5885123070414e-05
ALMS1,0.0001493886996838
ALMS1-IT1,7.92253177511566e-05
ALOX12,9.62620410684016e-06
ALOX12-AS1,7.24788612357937e-05
ALOX12B,1.54968736830921e-05
ALOX15B,2.02725211431324e-05
ALOX5,7.89836900525872e-05
ALOX5AP,7.65358119063637e-05
ALOXE3,3.9166459964612e-05
ALPK1,0.0001224908455369
ALPK2,2.92173090404442e-05
ALPK3,4.7243197468032e-05
ALPL,1.77581870808501e-05
ALS2,6.56952181468233e-05
ALS2CL,3.50893333332988e-05
ALX3,1.84434196339058e-05
ALX4,5.64728659405316e-05
ALYREF,6.3286921630784e-05
AMACR,0.0001060132449594
AMBN,1.19119939588659e-05
AMBP,1.94242350195333e-05
AMBRA1,0.0001088527200436
AMD1,0.000141970420302
AMDHD1,1.51916350494798e-05
AMDHD2,5.57378611000685e-05
AMELY,3.65753229821842e-06
AMER1,1.94312607450188e-05
AMER2,0.0001697971034025
AMER3,7.66135263380513e-05
AMFR,7.11053247110238e-05
AMH,1.37105022050838e-05
AMHR2,2.19160274298157e-05
AMIGO1,0.0001242848836965
AMIGO2,4.2753049506333e-05
AMMECR1,0.0001051548105438
AMMECR1L,9.50115700103383e-05
AMN,9.53751762988708e-05
AMN1,9.18858099487756e-05
AMOT,5.83874401797745e-05
AMOTL1,0.000127825609618
AMOTL2,0.0001308496779165
AMPD2,9.16717559302479e-05
AMPD3,0.000105941930246
AMPH,0.000124887090896
AMT,5.36319426376287e-05
AMY2B,0.0001152599114829
AMZ1,4.77297770029105e-05
AMZ2,0.0001246147434521
ANAPC1,0.0001142958521433
ANAPC10,7.00755654741914e-05
ANAPC11,9.8008287850774e-05
ANAPC13,9.73576358005753e-05
ANAPC15,5.74623554509151e-05
ANAPC16,0.0001526058937968
ANAPC2,4.94422476243743e-05
ANAPC4,0.0001307564308106
ANAPC5,0.0001339159276322
ANAPC7,9.7310989551522e-05
ANGEL1,8.11973693240948e-05
ANGEL2,0.0001018376651116
ANGPT1,5.97644912721527e-05
ANGPT2,8.50051346088561e-05
ANGPT4,2.86309440135928e-05
ANGPTL1,4.92349778045677e-05
ANGPTL2,0.0001040898098288
ANGPTL3,4.79546161161412e-05
ANGPTL4,7.76070055997894e-05
ANGPTL6,2.37200470897253e-05
ANGPTL7,2.08438474109431e-05
ANGPTL8,3.67046799646847e-05
ANK1,8.0232410244265e-05
ANK2,0.0001468849987851
ANK3,0.0001603433314444
ANKAR,7.14531005644696e-05
ANKDD1A,0.0001421388061768
ANKEF1,3.88278906646564e-05
ANKFN1,5.67418286665694e-05
ANKFY1,8.49938327986393e-05
ANKH,0.0001323904730566
ANKHD1,0.000106183555801
ANKIB1,0.0001437388721399
ANKLE1,4.78193371112169e-05
ANKLE2,7.90465606578622e-05
ANKMY1,6.22352980556103e-05
ANKMY2,0.0001138927228072
ANKRA2,4.89243560299011e-05
ANKRD1,2.05434225980371e-05
ANKRD10,0.0001409988616435
ANKRD11,0.0001331210365224
ANKRD12,0.0001879448942335
ANKRD13A,0.0001491635780558
ANKRD13B,7.67773747731701e-05
ANKRD13C,0.0001242662690568
ANKRD13C-DT,0.0001008404018444
ANKRD13D,7.9830061799339e-05
ANKRD16,1.93069554980562e-05
ANKRD17,0.0001356217164547
ANKRD18A,6.40025192258006e-05
ANKRD18B,9.73571928332859e-05
ANKRD2,4.82442067911775e-05
ANKRD20A1,2.14639602612131e-05
ANKRD22,2.62393930623507e-05
ANKRD23,5.71601837753685e-05
ANKRD24,5.68116785463491e-05
ANKRD26,8.4433701849823e-05
ANKRD26P3,4.70836396602772e-05
ANKRD27,0.000104949288359
ANKRD28,0.0001409237990368
ANKRD29,4.43645428702337e-05
ANKRD30A,1.99154322338634e-05
