"geneID","MeanWeight"
"ANO7L1",1.07758059899564
"ANO8",3.42068728977307
"ANO9",1.86011734221374
"ANOS1",4.67398450539112
"ANOS2P",1.25531027774662
"ANP32A",6.39022175275638
"ANP32A-IT1",1.02141703701505
"ANP32B",8.07956061566978
"ANP32CP",1.18116958173924
"ANP32D",0.836476898054146
"ANP32E",7.04620280524344
"ANPEP",1.22122665984054
"ANTKMT",2.64012601411819
"ANTXR1",3.76522083739939
"ANTXR2",3.44067644371371
"ANXA1",2.34374073953203
"ANXA10",0.784690719617888
"ANXA11",5.72919904165775
"ANXA13",0.624054455366625
"ANXA2",5.39617101812207
"ANXA2P1",2.86631927733774
"ANXA2P2",2.7930482054758
"ANXA2P3",0.507303912263913
"ANXA2R",1.59283613415654
"ANXA2R-AS1",1.66496892341767
"ANXA2R-OT1",2.86723317417422
"ANXA3",0.457859517905592
"ANXA4",5.20327104323142
"ANXA5",4.28783882649577
"ANXA6",2.87430095248918
"ANXA7",6.8058034578642
"ANXA8",2.56533717789095
"ANXA8L1",1.12451610475784
"ANXA9",2.75819843071614
"AOAH",2.53779868490949
"AOC1",0.84622402819693
"AOC2",1.14228255025426
"AOC3",3.14496812084275
"AOC4P",1.63427927783746
"AOPEP",3.72957697412316
"AOX1",3.30662148593729
"AOX3P-AOX2P",1.69322600386097
"AP1AR",4.39342899495296
"AP1B1",2.65130314995414
"AP1G1",6.71157427090246
"AP1G2",5.6571405927907
"AP1G2-AS1",3.78521543880183
"AP1M1",3.82523005649525
"AP1M2",1.45217058581777
"AP1S1",5.33719822827906
"AP1S2",7.03803001766132
"AP1S3",3.62986379455187
"AP2A1",4.80483281632407
"AP2A2",3.65934769053989
"AP2B1",6.0409002829234
"AP2M1",4.82997729226436
"AP2S1",3.26268021609195
"AP3B1",4.30909593620106
"AP3B2",3.39505844550655
"AP3D1",5.19685960563118
"AP3M1",3.2694000634986
"AP3M2",3.53108531321582
"AP3S1",6.65878658398274
"AP3S2",5.07697954757418
"AP4B1",2.20332989552121
"AP4E1",4.78348697494952
"AP4M1",1.57736032900424
"AP4S1",4.74345148428276
"AP5B1",1.24661178500865
"AP5M1",5.3212202826721
"AP5S1",3.2503730498867
"AP5Z1",5.08853167764293
"APAF1",4.28368511349706
"APBA1",6.39932113817283
"APBA2",5.51614727727917
"APBA3",3.04867007326229
"APBB1",2.27731151465835
"APBB1IP",4.46963524348935
"APBB2",6.30177396557193
"APBB3",1.49725256570136
"APC",7.57743941336805
"APC2",2.50077147385582
"APCDD1",5.61381626401835
"APCDD1L",0.984562826153422
"APCDD1L-DT",1.44709514270389
"APCS",0.96883980696538
"APEH",2.77380122364004
"APELA",0.484012549687175
"APEX1",5.20409879432849
"APEX2",2.14278247143573
"APH1A",3.85680442420087
"APH1B",4.61843512262316
"API5",6.42784082921209
"APIP",2.59401663111413
"APLF",1.13034383448014
"APLN",2.47460303209553
"APLNR",3.70415503469831
"APLP1",4.44909420751937
"APLP2",8.46138711138511
"APMAP",6.41419533473864
"APOA1",1.47347865555651
"APOA1-AS",0.728826446125681
"APOA2",1.23307874215697
"APOA4",2.66064592255087
"APOA5",2.19614343766755
"APOB",1.07664912718655
"APOBEC1",0.943070692797725
"APOBEC2",0.889197679429584
"APOBEC3A",0.994252878199891
"APOBEC3B",1.06252615381242
"APOBEC3C",2.27684835152476
"APOBEC3D",1.13341238431961
"APOBEC3F",3.18885161747919
