14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
GUSBP11	LOC101927450	KLHDC2		OGT		ABHD17B		PPME1	RBM39
CDKN2AIPNL	SPINK1	TTC7B		LATS2		CNOT6		COP1	ANKMY2
RSPH10B2	ALMS1P1	CSRNP2		MAGEB18		EP300		LINC00550	SBDSP1
CSNK2A1	SNRNP40	MFSD14A		ZNF252P-AS1		ZNF264		SEC23IP	SEC31A
SOX2-OT	GPC1-AS1	DLD		BCL2L11		ISG20L2		POSTN	LOC100506076
C5AR1	AP3M1	GPRASP3		PLCD1		SNX33		LOC729291	SEPTIN7P13
VAMP7	STIP1	SMIM13		CRY1		DPH3		MAEA	FRG1JP
SLCO1C1	NTRK1	LRRTM4		LOC101928371		TAF12		CPA4	KLHL3
MIR155HG	WDR83OS	COPS2		ABCA8		LYPD1		C18orf21	CLIP4
TBPL1	ZBTB12	ENOPH1		RUVBL2		CENPU		YBX2	PSMD14
TESHL	MYH16	TSNAX		VPS8		IFIT1		HK2	BOLA2
BBS9	KRTAP3-3	CCNH		TFAP2E		RBPJ		LINC02941	JMJD1C
DPY19L3	TTTY9A	DYNLL1		NIM1K		CHRNA5		MCM2	PRUNE2
ZNF829	ADAM29	IARS1		NUFIP2		PRDX1		TENT5B	RPS29
ARNT	MGC15885	SYT13		FRG1JP		GOLGA7B		DOCK11	LOC101927468
ZNF814	TBX18	KIAA1549L		LINC02223		NCAPG		SCPEP1	CTSH
GALC	CCDST	ZYG11B		GTF2E1		MLX		SEC22B	GRIK3
KLHL42	WASIR2	GABRA5		UNC79		LIN7A		MSL2	HAUS3
OPALIN	HSP90AB1	PNMA1		SERP1		ZBTB38		LEFTY2	SEPHS1
FAM107B	DRAP1	SLU7		CABYR		INTS8		LOC100507053	SLC47A1
CCT6P3	HSD17B2	RNF11		APOBEC4		PLPP1		CFAP184	ALB
LARP6	LINC02466	YPEL5		ZNF227		CABP7		VPS13B-DT	NAA20
ERO1A	LOC105371622	RNFT2		TMEM50B		SASS6		ADGRG6	WHAMMP2
SH3D19	GADL1	ENO2		HIBCH		ECPAS		GDE1	PLAAT1
RMC1	SUPV3L1	NDFIP1		PRRG1		DONSON		H2BW4P	ESD
ECM2	SSR4	CNTN1		GCNT4		C11orf96		GOT2	RPS13
ASTE1	CD180	TSPYL4		ZNF681		FBXO45		RNF217-AS1	HSPBAP1
RNF39	RPL18	FAM8A1		CRYGS				FAM209B	SEPTIN8
SUPT7L	NOVA2	KCNJ3		C8orf34-AS1				ZNF383	RBPMS
NBR1	TMUB1	COX7A2		ENPP7				TSPAN11	CASQ2
GRK4	DRD3	ATP6V1D		DEXI				C12orf76	ACOX1
MIX23	EVPL	PTPRR		CNTN3				LOC101929622	RPL7A
RLF	P4HA1	ATP6V1B2		IRS1				OSCAR	MTERF2
CDO1	MIR4755	TMEM167B		SPIN4				MSRB2	RNPC3
GUSBP14	FMC1	PDZD11		RB1CC1				LINC01816	ODR4
ZNF662	AADACL2	PTBP2		C1orf54				PABPC1L2B	AP2M1
SLC25A21-AS1	MAP4K3-DT	NAPG		C12orf75				ANGPTL1	SLAIN1
COX16	MAGEA11	OXCT1		MSX1				H2BC12	MYO6
JPX	NYNRIN	GMPS		LINC00623				ABCA6	RPL10A
PPP4R3A	SCAMP2	SARAF		LINC01210				BTBD9	WDR75
NPHP3	ANXA10	NEPRO		SLC7A9				DPP8	PTGR2
