14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
SUPT7L	TMUB1	NDFIP1	EEF1B2	ABCA8	SPIN3	PPM1E	MRPS14	TSPAN11	CASQ2
NBR1	DRD3	CNTN1	GOLGA7	RUVBL2	LRRTM4-AS1	C11orf96	YAP1	C12orf76	ACOX1
GRK4	EVPL	TSPYL4	AMMECR1L	VPS8	MED31	FBXO45	IQCA1	LOC101929622	RPL7A
MIX23	P4HA1	FAM8A1	PAG1	TFAP2E	MBLAC2	ZNF354B	PCA3	OSCAR	MTERF2
RLF	MIR4755	KCNJ3	ADGRF5	NIM1K	ZNF91	KLHL2	GON4L	MSRB2	RNPC3
CDO1	FMC1	COX7A2	ACTA2	NUFIP2	CA10	RAD51C	ASXL2	LINC01816	ODR4
GUSBP14	AADACL2	ATP6V1D	FANCB	TSPAN13	DCTN1-AS1	ZBTB20	LINC00382	PABPC1L2B	AP2M1
ZNF662	MAP4K3-DT	PTPRR	IAH1	FRG1JP	ZC3H8	MT1M	KRCC1	ANGPTL1	SLAIN1
SLC25A21-AS1	MAGEA11	ATP6V1B2	PRO1804	LINC02223	GPRASP3	ZNF667-AS1	SLC39A11	H2BC12	MYO6
COX16	NYNRIN	TMEM167B	ASNSD1	GTF2E1	RCAN2	SELENON	PTCHD1	ABCA6	RPL10A
JPX	SCAMP2	PDZD11	PSMF1	UNC79	TOMM20	UBA2	BBS5	BTBD9	WDR75
PPP4R3A	ANXA10	PTBP2	NOC4L	SERP1	BBS7	SHPRH	EED	DPP8	PTGR2
NPHP3	CASP4	NAPG	SPAG9	CABYR	DPY19L2	ANXA11	LINC02537	GS1-24F4.2	NFYC-AS1
NSUN4	MAPKAPK5-AS1	OXCT1	MED13	APOBEC4	CHRDL1	WDR43	GPN2	LSM6	HDAC2
